Tweet_ID,Sentiment_Label,Logits_Neutral,Logits_Positive,Logits_Negative,Tweet_text,hashtags,country,created_at
1366330759477301253,neutral,1.5986161231994631,0.586031436920166,0.13254767656326294,@Auspolpundit @kirstenaiken @andrewprobyn Time for another border lockdown!,,Australia,Mon Mar 01 10:13:32 +0000 2021
1366330900141678599,negative,1.3272526264190674,-0.8074141144752502,2.131558895111084,"Post-lockdown, Ash and I seem to be picking up a lot of little minor bugs. More than you’d expect normally. Currently all aches, pains and sniffles like an oncoming cold or flu...",,Australia,Mon Mar 01 10:14:06 +0000 2021
1366335263094362112,negative,0.28818240761756897,-1.0136084556579592,4.214998245239259,@BristolLive Absolute JOKERS &amp; disgraceful!!! Don’t start whinging when you get another LOCKDOWN!!!!,,Australia,Mon Mar 01 10:31:26 +0000 2021
1366335492497698817,negative,0.6931853890419006,-0.10957536846399307,1.517333745956421,Queensland finally gets a coronavirus tracing app to replace 'onerous' old system https://t.co/ZUmW4hnxI0 #COVID19Aus @Cubetoowoomba @BurkeWillsHotel @qldhotels,COVID19Aus,Australia,Mon Mar 01 10:32:21 +0000 2021
1366337993653456898,negative,0.965800404548645,-0.18362808227539065,1.1977466344833374,"@no_bunch @LikelyVictorian This is almost a year ago so the percentage would have gone down  significantly 

https://t.co/ypQhmyhUDG https://t.co/2g8euwQ3ZU",,Australia,Mon Mar 01 10:42:17 +0000 2021
1366340735495143427,positive,1.618665099143982,1.883676290512085,0.19168132543563846,#savinglives Someone has done their homework. Well done! Check out the numbers for yourself @ https://t.co/ddLu5DepZr #ivermectin #hydroxychloroquine #zinc #vitamind #stopgroupthink https://t.co/URduymq7Yp,"savinglives, ivermectin, hydroxychloroquine, zinc, vitamind, stopgroupthink",Australia,Mon Mar 01 10:53:11 +0000 2021
1366332778648768513,positive,1.14922034740448,1.1640934944152832,-0.12579181790351868,Clap for the NHS &amp; Slowthai. https://t.co/nQwLLYXOCq,,Australia,Mon Mar 01 10:21:34 +0000 2021
1366334017277071364,neutral,1.5629087686538696,1.1505768299102783,-0.07231943309307097,"@DarkMatterzine Yes, we will be ensuring that we have Covid safety protocols in place : )",,Australia,Mon Mar 01 10:26:29 +0000 2021
1366336004794109953,neutral,2.0193707942962646,0.08066509664058685,1.0100846290588381,"@McmurtyPatrick @newscomauHQ Calling an independent investigation into the origins of COVID-19, banning Huawei from the 5G and blocking 10 Chinese foreign investment deals across infrastructure, agriculture and animal husbandry sectors. I think each impinge on our ability to make sovereign decisions",,Australia,Mon Mar 01 10:34:23 +0000 2021
1366338434801885187,negative,1.385340690612793,0.12734979391098022,1.5749351978302002,@drajm I do hope I misheard the news this evening (Channel10) when an AFL player commented that he had just had the vaccination. I can’t seem to find the prioritisation for sports ahead of those critical &amp; frontline staff let alone those most at risk?!? https://t.co/GWevaS2m9r,,Australia,Mon Mar 01 10:44:02 +0000 2021
